,anomaly
1020,True
1021,False
1022,False
1023,False
1024,False
1025,False
1026,False
1027,False
1028,False
1029,False
1030,False
1031,False
1032,False
1033,False
1034,False
1035,False
1036,False
1037,False
1038,False
1039,False
1040,False
1041,False
1042,True
1043,False
1044,True
1045,True
1046,False
1047,False
1048,False
1049,False
1050,False
1051,False
1052,False
1053,False
1054,False
1055,False
1056,False
1057,False
1058,False
1059,False
1060,False
1061,False
1062,False
1063,False
1064,False
1065,False
1066,False
1067,False
1068,False
1069,False
1070,False
1071,False
1072,False
1073,False
1074,False
1075,False
1076,False
1077,False
1078,False
1079,False
1080,False
1081,False
1082,False
1083,False
1084,False
1085,False
1086,False
1087,False
1088,False
1089,False
1090,False
1091,False
1092,False
1093,False
1094,False
1095,False
1096,False
1097,False
1098,False
1099,False
1100,False
1101,False
1102,False
1103,False
1104,False
1105,False
1106,False
1107,False
1108,False
1109,False
1110,False
1111,True
1112,False
1113,False
1114,False
1115,False
1116,False
1117,False
1118,False
1119,False
1120,False
1121,False
1122,False
1123,False
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,False
1134,False
1135,False
1136,False
1137,False
1138,False
1139,False
1140,False
1141,False
1142,False
1143,False
1144,False
1145,False
1146,False
1147,False
1148,False
1149,False
1150,False
1151,False
1152,False
1153,True
1154,True
1155,False
1156,False
1157,False
1158,True
1159,False
1160,False
1161,False
1162,True
1163,False
1164,False
1165,False
1166,False
1167,False
1168,False
1169,False
1170,False
1171,False
1172,False
1173,False
1174,False
1175,False
1176,False
1177,False
1178,False
1179,False
1180,False
1181,False
1182,True
1183,False
1184,False
1185,False
1186,False
1187,False
1188,False
1189,False
1190,False
1191,False
1192,False
1193,True
1194,False
1195,False
1196,False
1197,False
1198,False
1199,False
1200,False
1201,False
1202,False
1203,False
1204,False
1205,False
1206,True
1207,False
1208,False
1209,False
1210,False
1211,False
1212,True
1213,False
1214,True
1215,False
1216,False
1217,False
1218,False
1219,True
1220,False
1221,False
1222,False
1223,False
1224,False
1225,False
1226,False
1227,False
1228,False
1229,False
1230,False
1231,False
1232,False
1233,False
1234,False
1235,False
1236,False
1237,False
1238,False
1239,False
1240,False
1241,False
1242,False
1243,False
1244,False
1245,False
1246,False
1247,False
1248,False
1249,False
1250,False
1251,False
1252,False
1253,False
1254,False
1255,False
1256,False
1257,False
1258,False
1259,False
1260,False
1261,False
1262,False
1263,False
1264,False
1265,False
1266,False
1267,True
1268,False
1269,False
1270,False
1271,False
1272,False
1273,False
1274,False
1275,False
1276,False
1277,False
1278,False
1279,False
1280,False
1281,False
1282,False
1283,False
1284,False
1285,False
1286,False
1287,False
1288,False
1289,False
1290,False
1291,False
1292,False
1293,False
1294,False
1295,False
1296,False
1297,True
1298,False
1299,False
1300,False
1301,False
1302,False
1303,False
1304,False
1305,False
1306,False
1307,False
1308,False
1309,False
1310,False
1311,False
1312,False
1313,False
1314,False
1315,False
1316,False
1317,False
1318,False
1319,False
1320,False
1321,False
1322,False
1323,False
1324,False
1325,False
1326,False
1327,False
1328,True
1329,False
1330,False
1331,False
1332,False
1333,False
1334,False
1335,False
1336,False
1337,False
1338,False
1339,False
1340,False
1341,False
1342,False
1343,False
1344,False
1345,False
1346,False
1347,False
1348,False
1349,False
1350,False
1351,False
1352,False
1353,False
1354,False
1355,False
1356,False
1357,False
1358,False
1359,False
1360,False
1361,False
1362,False
1363,False
1364,False
1365,False
1366,False
1367,False
1368,False
1369,False
1370,True
1371,False
1372,False
1373,False
1374,False
1375,False
1376,False
1377,False
1378,False
1379,False
1380,False
1381,False
1382,False
1383,False
1384,False
1385,False
1386,False
1387,False
1388,False
1389,False
1390,False
1391,False
1392,False
1393,False
1394,False
1395,False
1396,False
1397,False
1398,False
1399,False
1400,False
1401,False
1402,False
1403,False
1404,False
1405,False
1406,False
1407,False
1408,False
1409,False
1410,False
1411,False
1412,False
1413,False
1414,False
1415,False
1416,False
1417,False
1418,False
1419,False
1420,False
1421,False
1422,False
1423,False
1424,False
1425,False
1426,False
1427,False
1428,False
1429,False
1430,False
1431,False
1432,False
1433,False
1434,False
1435,False
1436,False
1437,False
1438,False
1439,False
1440,False
1441,False
1442,False
1443,False
1444,False
1445,False
1446,False
1447,False
1448,False
1449,False
1450,False
1451,False
1452,False
1453,False
1454,False
1455,False
1456,True
1457,False
1458,False
1459,False
1460,False
1461,False
1462,False
1463,False
1464,False
1465,False
1466,False
1467,False
1468,False
1469,False
1470,False
1471,False
1472,False
1473,False
1474,False
1475,False
1476,False
1477,False
1478,True
1479,False
