id,date,prix,ville,nombre_lots,lot1_surface1,lot2_surface1,lot3_surface1,lot4_surface1,lot5_surface1,type,surface2,nombre_pieces,nature_culture,surface_terrain
1,2015-01-16,217000.0,B,0,,,,,,Maison,147.0,5.0,sols,704.0
2,2017-09-08,1691000.0,C,1,65.09,,,,,Appartement,71.0,2.0,,
3,2018-12-05,43000.0,B,2,50.35,,,,,Appartement,50.0,2.0,,
4,2018-08-09,139330.0,B,0,,,,,,Maison,53.0,3.0,sols,235.0
5,2016-02-04,665000.0,D,2,71.94,,,,,Appartement,75.0,4.0,,
6,2019-07-03,485000.0,D,2,39.02,,,,,Appartement,39.0,2.0,,
7,2018-07-06,81900.0,B,2,40.94,,,,,Appartement,42.0,2.0,,
8,2017-12-27,1880000.0,D,3,192.08,,,,,Appartement,192.0,7.0,,
9,2019-10-17,10000.0,D,1,,,,,,Dépendance,,0.0,,
10,2016-08-11,145800.0,A,0,,,,,,Maison,188.0,5.0,sols,188.0
11,2019-07-01,650000.0,D,2,41.4,,,,,Appartement,41.0,2.0,,
12,2016-12-21,257000.0,B,0,,,,,,Maison,95.0,4.0,sols,435.0
13,2016-09-12,213000.0,B,0,,,,,,Maison,130.0,5.0,sols,134.0
14,2016-07-08,113000.0,A,0,,,,,,Maison,70.0,4.0,sols,749.0
15,2018-10-26,1615550.0,C,2,88.27,,,,,Appartement,87.0,4.0,,
16,2016-05-18,60000.0,D,1,,,,,,Dépendance,,0.0,,
17,2017-12-11,60000.0,C,1,,,,,,Local industriel. commercial ou assimilé,21.0,0.0,,
18,2015-12-01,249717.0,D,2,15.25,9.68,,,,Appartement,24.0,2.0,,
19,2018-09-17,421540.0,D,2,38.52,,,,,Appartement,43.0,1.0,,
20,2015-04-08,1400000.0,D,0,,,,,,Maison,128.0,4.0,sols,81.0
21,2017-10-27,1112000.0,C,4,91.9,,,,,Appartement,94.0,4.0,,
22,2017-08-16,1800000.0,C,3,,,162.1,,,Appartement,161.0,3.0,,
23,2019-10-14,330000.0,D,1,31.6,,,,,Appartement,31.0,2.0,,
24,2018-09-28,153000.0,D,1,12.74,,,,,Appartement,13.0,1.0,,
25,2019-03-29,222000.0,B,0,,,,,,Local industriel. commercial ou assimilé,70.0,0.0,sols,74.0
26,2017-02-28,82000.0,B,0,,,,,,Local industriel. commercial ou assimilé,112.0,0.0,sols,290.0
27,2017-03-20,1343000.0,C,2,,97.25,,,,Appartement,73.0,4.0,,
28,2018-04-09,550000.0,C,1,44.21,,,,,Local industriel. commercial ou assimilé,37.0,0.0,,
